dong,feature,mean_abs_shap
유가읍,safety_len,0.03022549
유가읍,road_len_5.5,0.023930116
유가읍,area,0.017833626
유가읍,speed,0.015544639
유가읍,household_size,0.015535601
유가읍,ambulance_len,0.013718252
유가읍,rescue_count,0.0098429425
유가읍,parking,0.009690284
유가읍,population,0.009482302
유가읍,sigungu,0.008090781
유가읍,traffic,0.007944711
유가읍,rescue_len,0.0077331057
유가읍,dong_le,0.0066041867
유가읍,ratio_road_len_4,0.005708436
유가읍,pop_density,0.0054894984
유가읍,fire_len,0.005342851
유가읍,road_len_4,0.0036424666
유가읍,market,0.0020507807
