dong,feature,mean_abs_shap
노원동,sigungu,0.026971987
노원동,household_size,0.022286685
노원동,ambulance_len,0.022254243
노원동,road_len_12up,0.02072729
노원동,safety_count,0.015810335
노원동,rescue_count,0.015119896
노원동,safety_len,0.013138038
노원동,month,0.013058536
노원동,road_len_4,0.010121469
노원동,household,0.0095687695
노원동,population,0.0093969535
노원동,area,0.007834922
노원동,rescue_len,0.005465891
노원동,dong_le,0.005113185
노원동,pop_density,0.00475786
노원동,road_len_5.5,0.003665584
노원동,traffic,0.0034467662
노원동,fire_len,0.0021156284
노원동,market,0.0013489112
노원동,speed,0.0006734671
노원동,parking,0.0005384584
